Vendor,SKU,Product,Tier1Label,Tier1Price
Annie Selke,PC4867-F,Organic Cotton Sky Sheet Set Full,MSRP,$248.00 
Annie Selke,PC4867-Q,Organic Cotton Sky Sheet Set Queen,MSRP,$268.00 
Annie Selke,PC4867-K,Organic Cotton Sky Sheet Set King,MSRP,$298.00 
Annie Selke,PC4913-T,Parris Stripe Linen French Blue Quilt Twin/Twin XL,MSRP,$328.00 
Annie Selke,PC4913-FQ,Parris Stripe Linen French Blue Quilt Full/Queen,MSRP,$358.00 
Annie Selke,PC4913-K,Parris Stripe Linen French Blue Quilt King,MSRP,$388.00 
Annie Selke,PC4915-SHS,Parris Stripe Linen French Blue Quilted Sham Standard,MSRP,$68.00 
Annie Selke,PC4915-SHK,Parris Stripe Linen French Blue Quilted Sham King,MSRP,$78.00 
Annie Selke,PC4915-SHE,Parris Stripe Linen French Blue Quilted Sham Euro,MSRP,$78.00 
Annie Selke,PC4905-T,Shores Gauze Dove White Quilt Twin/Twin XL,MSRP,$228.00 
Annie Selke,PC4905-FQ,Shores Gauze Dove White Quilt Full/Queen,MSRP,$298.00 
Annie Selke,PC4905-K,Shores Gauze Dove White Quilt King,MSRP,$348.00 
Annie Selke,PC4907-SHS,Shores Gauze Dove White Quilted Sham Standard,MSRP,$48.00 
Annie Selke,PC4907-SHK,Shores Gauze Dove White Quilted Sham King,MSRP,$58.00 
Annie Selke,PC4907-SHE,Shores Gauze Dove White Quilted Sham Euro,MSRP,$58.00 
Annie Selke,PC4907-SHD,Shores Gauze Dove White Quilted Sham Dutch Euro,MSRP,$68.00 
Annie Selke,PC4917-T,Simons Stripe French Blue Duvet Cover Twin/Twin XL,MSRP,$158.00 
Annie Selke,PC4917-FQ,Simons Stripe French Blue Duvet Cover Full/Queen,MSRP,$178.00 
Annie Selke,PC4917-K,Simons Stripe French Blue Duvet Cover King,MSRP,$198.00 
Annie Selke,PC4918-SHS,Simons Stripe French Blue Duvet Sham Standard,MSRP,$38.00 
Annie Selke,PC4918-SHK,Simons Stripe French Blue Duvet Sham King,MSRP,$48.00 
Annie Selke,PC4918-SHE,Simons Stripe French Blue Duvet Sham Euro,MSRP,$48.00 
Annie Selke,PC4919-S,Simons Stripe French Blue Pillowcases Standard,MSRP,$48.00 
Annie Selke,PC4919-K,Simons Stripe French Blue Pillowcases King,MSRP,$58.00 
Annie Selke,PC4916-T,Simons Stripe French Blue Sheet Set Twin/Twin XL,MSRP,$138.00 
Annie Selke,PC4916-F,Simons Stripe French Blue Sheet Set Full,MSRP,$158.00 
Annie Selke,PC4916-Q,Simons Stripe French Blue Sheet Set Queen,MSRP,$198.00 
Annie Selke,PC4916-K,Simons Stripe French Blue Sheet Set King,MSRP,$218.00 
